"Time","CAL? 72 3458A","CAL? 175 3458A"
1649682761000,0.99159272,40.0168023
1649686361000,0.99159277,40.1640198
1649689968000,0.99159274,40.2225437
1649693571000,0.9915927,40.2341575
1649697171000,0.99159277,40.2064821
1649700771000,0.99159273,39.964689
1649704378000,0.99159269,39.3339744
1649707981000,0.99159278,39.8441006
1649711581000,0.99159276,40.1923774
1649715181000,0.99159276,39.9204231
1649718788000,0.99159275,39.6126391
1649722390000,0.9915927,39.2556146
1649725991000,0.99159271,38.9286874
1649729591000,0.99159279,38.6578599
1649733198000,0.99159275,38.5134329
1649736800000,0.99159273,38.6513758
1649740401000,0.99159282,38.7074161
1649744001000,0.99159282,38.8540284
1649747608000,0.9915928,39.0605898
1649751210000,0.99159283,39.383604
1649758638000,0.99159277,39.7295353
1649762244000,0.99159276,39.9744896
1649765847000,0.99159278,40.0269114
1649769447000,0.99159279,40.1772173
1649773047000,0.99159278,40.255798
1649776654000,0.99159274,40.2294042
1649780257000,0.99159279,40.2155321
1649783857000,0.99159281,40.1885271
1649787457000,0.99159288,39.9699768
1649791064000,0.99159279,39.5044223
1649794667000,0.99159283,39.575691
1649798267000,0.99159287,39.5133271
1649801867000,0.99159281,39.4382088
1649805474000,0.99159283,39.4269753
1649809076000,0.99159284,39.2949159
1649812677000,0.99159284,39.0829939
1649816277000,0.99159285,38.8842741
1649819884000,0.99159283,38.7087686
1649823486000,0.9915929,38.5160856
1649827087000,0.99159288,38.3165324
1649830687000,0.99159293,38.5638989
1649834294000,0.991593,38.8725089
1649837896000,0.99159291,38.9252243
1649841496000,0.99159304,39.0049416
1649845096000,0.99159303,39.198681
1649850074000,0.99159303,39.6379995
1649853680000,0.99159308,40.0914846
1649857283000,0.99159347,40.462022
1649860883000,0.99159351,40.6976281
1649876939000,0.99159342,40.8225136
1649888596000,0.99159351,40.7652794
1649892202000,0.9915935,40.8166318
1649895805000,0.9915935,40.6968649
1649899405000,0.9915935,40.5716031
1649903005000,0.99159344,40.4704703
1649906612000,0.9915935,40.3390939
1649910215000,0.99159344,40.1893838
1649913815000,0.99159347,40.076341
1649917415000,0.99159344,39.6727017
1649921022000,0.99159351,39.7636572
1649924625000,0.99159352,39.8255756
1649928225000,0.99159349,40.0043945
1649931825000,0.99159361,40.0142012
1649935432000,0.99159356,39.923624
1649939034000,0.99159361,39.9858444
1649942635000,0.99159354,40.2194877
1649946235000,0.99159363,40.516852
1649949842000,0.99159357,40.4753768
1649953444000,0.99159353,40.5287622
1649957045000,0.99159358,40.5344265
1649960645000,0.99159364,undefined
1649960646000,undefined,40.6956715
1649964253000,0.99159356,40.527191
1649967855000,0.99159366,40.0427782
1649971455000,0.99159358,40.0420998
1649976795000,0.99159361,39.9209105
1649980401000,0.99159366,undefined
1649980402000,undefined,39.7376436
1649984004000,0.99159371,undefined
1649984005000,undefined,39.5152441
1649987605000,0.99159368,39.3521877
1649991205000,0.99159369,39.1777509
1649994812000,0.99159367,38.9861874
1649998415000,0.99159371,38.7993799
1650020678000,0.99159381,39.7089874
1650024279000,0.99159378,39.6764114
1650063768000,0.99159363,39.1642508
1650067369000,0.99159366,38.9290958
1650070969000,0.99159367,38.6664241
1650074584000,0.99159372,38.3850435
1650078178000,0.99159362,38.1185863
1650081778000,0.99159362,37.8529667
1650085379000,0.99159367,37.7369811
1650088994000,0.99159368,37.7804976
1650092588000,0.9915937,38.1135404
1650096188000,0.99159374,38.5144564
1650099789000,0.99159371,38.7557123
1650547768000,0.99159388,39.3638818
1650607203000,0.99159396,38.1607554
1650610809000,0.99159404,38.6107004
1650614412000,0.99159407,39.0734596
1650618012000,0.99159415,39.2933814
1650621612000,0.99159404,39.6151877
1650625219000,0.99159411,39.7656451
1650628822000,0.99159406,39.7096022
1650632422000,0.99159414,39.7591614
1650636022000,0.99159415,39.4511591
1650639629000,0.99159415,39.3405165
1650643232000,0.9915942,39.4279217
1650646832000,0.99159427,39.6610454
1650650432000,0.99159419,39.7388014
1650820237000,0.99159405,39.7836699
1650823843000,0.99159403,39.6819294
1650925681000,0.99159401,39.2279848
1650929287000,0.991594,39.1094285
1650932890000,0.99159397,39.0843917
1650936490000,0.99159406,38.9784423
1650940090000,0.99159398,38.8063305
1650943697000,0.99159407,38.5697485
1650947300000,0.991594,38.297113
1650950900000,0.99159405,38.2479473
1650954500000,0.99159405,38.7303113
1650958107000,0.99159409,39.2021987
1650961710000,0.99159416,39.5458009
1650965310000,0.99159409,undefined
1650965311000,undefined,39.6914314
1650968910000,0.99159405,undefined
1650968911000,undefined,39.893845
